Kategorie: Alle Kategorien

Monat,Online Gottesdienst: (Deutschland),Youtube Gottesdienst: (Deutschland),Gottesdienst live: (Deutschland)
2017-01,0,0,2
2017-02,0,0,2
2017-03,0,2,2
2017-04,3,0,3
2017-05,0,2,2
2017-06,0,0,3
2017-07,2,0,2
2017-08,0,2,2
2017-09,0,2,3
2017-10,3,3,4
2017-11,3,3,2
2017-12,5,5,6
2018-01,0,2,4
2018-02,3,3,3
2018-03,4,4,4
2018-04,0,2,5
2018-05,3,2,3
2018-06,0,0,2
2018-07,0,0,2
2018-08,0,0,0
2018-09,0,2,2
2018-10,3,4,2
2018-11,0,2,3
2018-12,6,4,7
2019-01,3,2,2
2019-02,0,3,3
2019-03,3,0,3
2019-04,3,3,4
2019-05,0,0,3
2019-06,2,4,4
2019-07,0,0,2
2019-08,2,0,3
2019-09,2,4,3
2019-10,2,2,4
2019-11,2,2,3
2019-12,4,4,7
2020-01,2,3,5
2020-02,0,2,3
2020-03,38,32,44
2020-04,74,70,100
2020-05,27,41,42
2020-06,13,27,27
2020-07,9,17,17
2020-08,9,19,23
2020-09,7,17,20
2020-10,13,16,19
2020-11,14,21,27
2020-12,84,53,63
2021-01,20,32,33
2021-02,14,30,26
2021-03,17,30,21
2021-04,30,42,43
2021-05,18,35,34
2021-06,9,21,19
2021-07,9,17,18
2021-08,8,17,22
2021-09,8,16,15
2021-10,6,19,23
2021-11,11,18,21
2021-12,33,30,36
2022-01,9,22,26
2022-02,6,16,24
2022-03,7,15,20
2022-04,9,21,25
2022-05,6,15,17
2022-06,6,11,18
2022-07,5,13,14
2022-08,5,12,14
2022-09,5,13,14
2022-10,6,14,16
2022-11,5,12,12
2022-12,12,17,27
2023-01,5,11,16
2023-02,5,12,12
2023-03,5,12,11
2023-04,9,15,23
2023-05,3,11,15
2023-06,5,10,12
2023-07,5,11,12
2023-08,4,10,12
2023-09,3,8,12
2023-10,5,12,14
2023-11,6,10,12
2023-12,11,16,22
2024-01,5,10,15
2024-02,3,9,12
2024-03,7,9,15
2024-04,4,7,9
2024-05,4,7,13
2024-06,4,9,13
